figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.3,30.0,asr,0.0009,0.09,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.3,30.0,mta,0.9834,98.34,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.1,10.0,mta,0.8342,83.42,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.2,20.0,mta,0.889,88.9,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.3,30.0,asr,0.0,0.00,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.3,30.0,mta,0.7736,77.36,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,label_flip,0.1,10.0,asr,0.000881057268722467,0.0881057268722467,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,label_flip,0.1,10.0,mta,0.9865,98.65,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,label_flip,0.2,20.0,mta,0.9828,98.28,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,label_flip,0.3,30.0,asr,0.0018,0.18,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,label_flip,0.3,30.0,mta,0.982,98.20,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,label_flip,0.1,10.0,mta,0.9847,98.47,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,label_flip,0.2,20.0,mta,0.986,98.6,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,label_flip,0.3,30.0,asr,0.0035,0.35,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,label_flip,0.3,30.0,mta,0.9855,98.55,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,label_flip,0.1,10.0,mta,0.9865,98.65,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,label_flip,0.2,20.0,mta,0.986,98.6,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,label_flip,0.3,30.0,asr,0.0,0.00,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,label_flip,0.3,30.0,mta,0.9835,98.35,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,label_flip,0.1,10.0,mta,0.9844,98.44000000000001,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,label_flip,0.2,20.0,mta,0.9838,98.38,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,label_flip,0.3,30.0,asr,0.0,0.00,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,label_flip,0.3,30.0,mta,0.9795,97.95,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,label_flip,0.1,10.0,asr,0.01,1.0,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,label_flip,0.1,10.0,mta,0.9225,92.25,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,label_flip,0.2,20.0,asr,0.023,2.3,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,label_flip,0.2,20.0,mta,0.921,92.10000000000001,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,label_flip,0.3,30.0,asr,0.06,6.00,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,label_flip,0.3,30.0,mta,0.9159,91.59,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,label_flip,0.1,10.0,asr,0.015,1.5,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,label_flip,0.1,10.0,mta,0.8726,87.26,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,label_flip,0.2,20.0,asr,0.003,0.3,1,1,
labelflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,label_flip,0.2,20.0,mta,0.877,87.7,1,1,
