figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
signflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,sign_flip,0.1,10.0,mta,0.9845,98.45,1,1,
signflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,sign_flip,0.2,20.0,mta,0.9849,98.49,1,1,
signflip_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,sign_flip,0.3,30.0,mta,0.9819,98.19,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,sign_flip,0.0,0.0,mta,0.9241,92.41,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,sign_flip,0.1,10.0,mta,0.4884,48.84,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,sign_flip,0.2,20.0,mta,0.1,10.0,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,sign_flip,0.3,30.0,mta,0.1,10.0,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,sign_flip,0.0,0.0,mta,0.8734,87.33999999999999,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,sign_flip,0.1,10.0,mta,0.8796,87.96000000000001,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,sign_flip,0.2,20.0,mta,0.8685,86.85000000000001,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,sign_flip,0.3,30.0,mta,0.8724,87.24,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,sign_flip,0.0,0.0,mta,0.9229,92.29,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,sign_flip,0.1,10.0,mta,0.8886,88.86,1,1,
