figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,backdoor,0.2,20.0,mta,0.85,85.0,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,backdoor,0.3,30.0,asr,0.0119,1.19,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,backdoor,0.3,30.0,mta,0.8642,86.42,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,asr,0.463664734730272,46.3664734730272,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,mta,0.9841,98.41,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,asr,0.9568658047258136,95.68658047258137,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,mta,0.9827,98.27,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.3,30.0,asr,0.9957,99.57,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.3,30.0,mta,0.9803,98.03,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,backdoor,0.1,10.0,asr,0.4040,40.40,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,backdoor,0.1,10.0,mta,0.985,98.5,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,backdoor,0.2,20.0,asr,0.4285,42.85,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,backdoor,0.2,20.0,mta,0.9846,98.46000000000001,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,backdoor,0.3,30.0,asr,0.4286,42.86,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,backdoor,0.3,30.0,mta,0.9812,98.12,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,backdoor,0.1,10.0,asr,0.0723,7.23,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,backdoor,0.1,10.0,mta,0.9841,98.41,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,backdoor,0.2,20.0,asr,0.1198,11.98,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,backdoor,0.2,20.0,mta,0.9823,98.22999999999999,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,backdoor,0.3,30.0,asr,0.1581,15.81,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,backdoor,0.3,30.0,mta,0.982,98.20,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.1,10.0,asr,0.0010,0.10,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.1,10.0,mta,0.982,98.2,1,1,
